Nolmmat,Modele,DateAchat,CodeG,CodeMA
AA-001-AA,A1,2017-05-16,1,5
AA-001-AB,A1 Sportback,2022-11-06,1,5
AA-001-AC,A3,2015-11-23,2,5
AA-001-AD,A3 Sportback,2020-03-23,2,5
AA-001-AE,A4 Avant,2023-09-06,4,5
AA-001-AF,A5,2024-12-24,3,5
AA-001-AG,A6 Avant,2023-10-26,4,5
AA-001-AH,e-tron GT,2024-03-01,3,5
AA-001-AI,Q2,2018-10-11,2,5
AA-001-AJ,Q3,2017-08-05,4,5
AA-001-AK,Q3 Sportback,2025-09-21,4,5
AA-001-AL,Q5,2018-10-13,4,5
AA-001-AM,Q5 Sportback,2022-04-23,4,5
AA-001-AN,Q7,2022-10-08,4,5
AA-001-AO,RS Q3,2017-02-13,4,5
AA-001-AP,RS3,2019-10-29,3,5
AA-001-AQ,RS4,2019-06-23,3,5
AA-001-AR,RS5,2024-08-13,3,5
AA-001-AS,RS6,2020-08-20,3,5
AA-001-AT,S3,2021-09-20,3,5
AA-001-AU,S4,2015-10-16,3,5
AA-001-AV,S7,2019-02-26,3,5
AA-001-AW,SQ5,2017-03-11,4,5
AA-001-AX,TT,2021-08-09,3,5
AA-001-AY,M4,2018-03-18,3,9
AA-001-AZ,M5,2017-10-24,3,9
AA-001-BA,M8,2023-12-10,3,9
AA-001-BB,Série 1,2017-05-20,2,9
AA-001-BC,Série 2,2020-09-01,2,9
AA-001-BD,Série 2 Gran Coupe,2015-03-12,2,9
AA-001-BE,Série 3,2022-04-27,3,9
AA-001-BF,Série 4,2023-08-07,3,9
AA-001-BG,Série 4 Gran Coupe,2019-08-06,3,9
AA-001-BH,Série 5,2024-09-16,3,9
AA-001-BI,Série 6,2021-02-28,3,9
AA-001-BJ,Série 7,2015-02-27,3,9
AA-001-BK,Série 8,2024-03-15,3,9
AA-001-BL,X1,2022-04-12,3,9
AA-001-BM,X2,2015-05-31,3,9
AA-001-BN,X3,2024-09-27,4,9
AA-001-BO,X4,2018-06-12,3,9
AA-001-BP,X5,2024-02-19,4,9
AA-001-BQ,X6,2016-10-25,4,9
AA-001-BR,Z3,2015-07-05,1,9
AA-001-BS,Z4,2016-12-30,1,9
AA-001-BT,Z8,2025-06-25,3,9
AA-001-BU,190,2015-05-25,3,41
AA-001-BV,220,2024-08-14,3,41
AA-001-BW,300,2022-06-26,3,41
AA-001-BX,CLA,2020-06-04,2,41
AA-001-BY,Classe A,2022-01-04,2,41
AA-001-BZ,Classe B,2025-04-15,2,41
AA-001-CA,Classe C,2017-04-25,2,41
AA-001-CB,Classe C Coupe Sport,2019-11-30,2,41
AA-001-CC,Classe E,2020-09-07,2,41
AA-001-CD,Classe G,2016-12-22,4,41
AA-001-CE,Classe GLK,2021-08-05,4,41
AA-001-CF,Classe ML,2015-08-31,4,41
AA-001-CG,Classe S,2025-06-27,2,41
AA-001-CH,Classe V,2025-05-03,2,41
AA-001-CI,CLS,2020-10-10,4,41
AA-001-CJ,GLA,2020-07-06,4,41
AA-001-CK,GLC,2016-08-14,4,41
AA-001-CL,GLC Coupé,2016-05-21,4,41
AA-001-CM,GLE Coupé,2024-09-10,4,41
AA-001-CN,SL,2023-03-12,3,41
AA-001-CO,SLC,2024-01-12,3,41
AA-001-CP,SLK,2023-06-24,3,41
AA-001-CQ,Viano,2022-03-10,3,41
AA-001-CR,Vito,2020-11-03,6,41
AA-001-CS,Auris Touring Sports,2018-01-25,2,60
AA-001-CT,Aygo,2018-06-26,1,60
AA-001-CU,C-HR,2023-12-02,4,60
AA-001-CV,Camry,2025-05-27,3,60
AA-001-CW,Corolla,2025-09-14,2,60
AA-001-CX,Hilux,2025-04-16,2,60
AA-001-CY,Land Cruiser,2020-04-11,4,60
AA-001-CZ,Verso,2022-06-26,4,60
AA-001-DA,Yaris,2020-11-19,1,60
AA-001-DB,NX,2016-11-13,4,35
AA-001-DC,RX,2021-08-27,4,35
AA-001-DD,RZ,2017-03-14,4,35
AA-001-DE,Austral,2022-03-22,2,50
AA-001-DF,Captur,2021-01-25,2,50
AA-001-DG,Clio,2018-07-26,1,50
AA-001-DH,Dauphine,2023-09-23,2,50
AA-001-DI,Espace,2025-03-24,4,50
AA-001-DJ,Fregate,2021-06-26,2,50
AA-001-DK,Kadjar,2022-10-11,2,50
AA-001-DL,Kangoo,2022-10-13,5,50
AA-001-DM,Master,2016-11-09,8,50
AA-001-DN,Megane,2023-03-15,2,50
AA-001-DO,Megane CC,2016-02-19,2,50
AA-001-DP,Modus,2015-06-04,1,50
AA-001-DQ,R16,2022-03-28,2,50
AA-001-DR,Scenic,2024-04-18,4,50
AA-001-DS,Trafic,2015-02-04,7,50
AA-001-DT,Twingo,2018-08-28,1,50
AA-001-DU,Zoe,2015-08-22,1,50
AA-001-DV,Sierra 1500,2024-02-03,7,22
AA-001-DW,CH46,2020-03-15,1,11
